-1004940724779872737;15:04:22;4065922;at_depot;0;1
-1006277599976110084;16:04:40;\N;in_week;40;1
-1009998163369194601;15:25:43;6101440;in_three_days;2;1
-101111767667825723;15:32:54;\N;at_depot;1;1
-101111767667825723;15:33:28;\N;in_week;3;1
-1013805017450497446;16:52:56;\N;at_depot;6;1
-1014100200802569040;16:31:08;5862917;at_depot;7;1
-1014100200802569040;16:32:10;5862917;at_depot;5;1
-1015033063782316644;15:59:21;\N;unknown_availability;0;1
-1015558666283832248;15:30:06;521666;at_depot;0;1
-1015558666283832248;15:30:23;521666;at_depot;1;1
-1015900568507051300;15:46:44;\N;in_week;32;1
-1018044661248558362;15:10:32;\N;in_three_days;1;1
-1020440695658685824;16:20:47;5008657;at_depot;0;1
-1020440695658685824;16:21:10;5008657;at_depot;1;1
-1022833100961041609;16:13:31;\N;at_depot;16;1
-1024164085882458132;15:05:24;\N;at_depot;0;1
-1025079184982273261;15:45:36;\N;at_depot;9;1
-1025079184982273261;15:45:56;\N;at_depot;13;1
-1025373487180705670;16:07:00;3022982;at_depot;3;1
-1027724877999674519;15:17:28;\N;at_depot;2;1
-1027724877999674519;15:19:04;\N;week_or_more;9;1
-1031069104728209474;16:06:41;2351092;in_three_days;0;1
-1031069104728209474;16:06:56;2351092;week_or_more;1;1
-103576456538151458;15:09:22;3022982;at_depot;2;1
-103576456538151458;15:09:50;3022982;at_depot;3;1
-103576456538151458;15:10:52;3022982;in_week;4;1
-103576456538151458;15:12:26;3022982;at_depot;8;1
-103576456538151458;15:13:19;3022982;at_depot;9;1
-103576456538151458;15:14:41;3022982;in_week;4;1
-103576456538151458;15:15:40;3022982;unknown_availability;7;1
-103576456538151458;15:16:45;3022982;unknown_availability;6;1
-103576456538151458;15:20:13;3022982;unknown_availability;2;1
-103576456538151458;15:21:36;3022982;unknown_availability;2;1
-103576456538151458;15:38:41;3022982;unknown_availability;2;1
-103576456538151458;15:39:53;3022982;week_or_more;0;1
-1042239552419542733;16:12:32;\N;at_depot;\N;1
-1042608114711437469;15:53:53;6040299;at_depot;37;1
-1042720551810635542;15:09:40;6357281;at_depot;0;1
-1046056367024903483;15:01:57;\N;at_depot;23;1
-1049354614852681614;16:04:40;\N;at_depot;9;1
